Name,General Type,Specific Type,From Value,To Value,Unit,Package,Room,Modul,Col,Row,Depth,Note,Remaining
,Opamp,,,,,THT,C-lab,A,A,1,,OPAMP SONSM6E,>50
,Komparator,,,,,THT,C-lab,A,B,1,,,
,Sensor,Magnet,,,,THT,C-lab,A,C ,1,3,,>50
,Sensor,Temperatur,,,,THT,C-lab,A,C ,1,2,,20
,Sensor,Gas,,,,THT,C-lab,A,D,1,1,,3
,Sensor,Feuchte,,,,THT,C-lab,A,D,1,2,,1
,Sensor,,,,,THT,C-lab,A,D,1,3,,8
,Diode,various,,,,THT,C-lab,A,E,1,,SI-6LR und Highpower,>200
,Sicherung,thermo,,,,THT,C-lab,A,A,2,1,,10
,Relais,solid state,200,250,Volt,Schraubklemme,C-lab,A,B,2,,,1
,Relais,Solid State,,,,THT,C-lab,A,C ,2,,schraubklemme und pins,5
,Demodulator,optisch,,,,bekabelte module,C-lab,A,D,2,1,,
,Lichtschranke,Gabel,,,,bekabelte module,C-lab,A,D,2,2,,
,7segment,LED,,,,various,C-lab,A,E,2,,,
unknown,IC,,,,,THT,C-lab,A,A,3,,,
,TTL,74xx,,,,THT,C-lab,A,B,3,,,
,IC,russisch,,,,THT,C-lab,A,D,3,,,
,Diode,Germanium,,,,THT,C-lab,A,E,3,1,,
,Diode,Germanium,,,,THT,C-lab,A,E,3,2,,
,Diode,Zener,,,,THT,C-lab,A,E,3,3,,
,Diode,Germanium,,,,THT,C-lab,A,A,4,1,,
,Diode,Silizium,,,,THT,C-lab,A,A,4,2,,
,Transistor,Germanium,,,,THT,C-lab,A,B,4,1,,
,Sensor,Druck,,,,THT,C-lab,A,C ,4,1,,
,Peltier,,,,,THT,C-lab,A,C ,4,3,,
,Transistor,Silizium,,,,THT,C-lab,A,D,4,1,alt,
,Transistor,Silizium,,,,THT,C-lab,A,D,4,2,alt,
,Transistor,Silizium,,,,THT,C-lab,A,E,4,1,,
,Transistor,Silizium,,,,THT,C-lab,A,E,4,2,,
,Transistor,Silizium,,,,THT,C-lab,A,E,4,3,,
,Transistor,IPEZ,,,,THT,C-lab,A,A,5,1,,
,Transistor,Germanium,,,,THT,C-lab,A,A,5,2,,
,,,,,,THT,C-lab,A,A,5,3,,
,Transistor,Silizium,,,,THT,C-lab,A,B,5,1,,
,Transistor,Silizium,,,,THT,C-lab,A,B,5,2,,
unknown,,,,,,THT,C-lab,A,C ,5,,,
,ICs,opened,,,,THT,C-lab,A,D,5,,,
,ICs,used+damaged,,,,THT,C-lab,A,E,5,,,
,Thyristor,Highpower,,,,THT,C-lab,A,A,6,,,
,Diode,Highpower,,,,THT,C-lab,A,B,6,,,
,Brückengleichrichter,Silizium,,,,THT,C-lab,A,A,7,1,,
,Selen,Spezialbauelemente,,,,THT,C-lab,A,A,7,2,,
,Diode,Selen,,,,THT,C-lab,A,A,7,3,,
,Brückengleichrichter,"Silizium, Selen",,,,THT,C-lab,A,A,7,4,,
